Année de production;Production de biométhane annuel (MWh/an);Commune;Code INSEE EPCI;Région;Département;Coordonnées du site;Production de biométhane annuel (kWh/an);Production de biométhane annuel (GWh/an);Capacité théorique de production (GWh/an);Code INSEE Région;Code INSEE Commune;Type de site;Code INSEE Département;Date de mise en service;Code Technique du Site;EPCI;Reseau;Type de Réseau;Nom du site officiel
2021;18762.752902000015;Saint-Fergeux;200043156;Grand Est;Ardennes;49.5733658942, 4.20117468938;18762752;18.762752902000013;22.345;44;08380;Agricole autonome;08;2021-03-11;IR0133;CC du Pays Rethélois;GRTgaz;Transport;Gaz de Constantine
2021;12158.143892000006;Fère-Champenoise;245100979;Grand Est;Marne;48.7706781866, 4.01743444039;12158143;12.158143892000005;16.5353;44;51248;Agricole autonome;51;2021-04-30;IR0134;CC du Sud Marnais;GRTgaz;Transport;Lheur'Biogaz
2021;12431.97540399999;Ognes;245100979;Grand Est;Marne;48.6955801098, 3.90728218249;12431975;12.43197540399999;27.88656;44;51412;Agricole autonome;51;2021-06-29;IR0143;CC du Sud Marnais;GRTgaz;Transport;De Briffontaines
2021;7781.677933999997;Quiers;247700701;Île-de-France;Seine-et-Marne;48.6142332217, 2.96159846336;7781677;7.781677933999997;16.5353;11;77381;Agricole autonome;77;2021-07-29;IR0146;CC Brie Nangissienne;GRTgaz;Transport;R&D Bio Energy SAS
2021;910.898818;Cerneux;200037133;Île-de-France;Seine-et-Marne;48.7047767033, 3.34596512996;910898;0.9108988179999999;17.876;11;77066;Industriel territorial;77;2021-12-08;IR0153;CC du Provinois;GRTgaz;Transport;SAS Brie Compost
2020;7112.319;Wahlenheim;200067874;Grand Est;Bas-Rhin;48.765310444, 7.687221619;;7.112319;8.937999999999999;44;67510;Agricole autonome;67;2019-07-08;;CA de Haguenau;R-GDS;Distribution;METHA 3
2019;5460.55;Saint-Laurent-Médoc;200069995;Nouvelle-Aquitaine;Gironde;45.140433428, -0.862378225;;5.4605500000000005;26.814;75;33424;Agricole autonome;33;2019-07-24;;CC Médoc Cœur de Presqu'île;Régaz;Distribution;MEDOC BIOGAZ 1
2021;10375.32;Saint-Jean-d'Illac;243301165;Nouvelle-Aquitaine;Gironde;44.793554609, -0.819247806;;10.37532;22.345;75;33422;Agricole autonome;33;2021-06-02;;CC Jalle-Eau-Bourde;Régaz;Distribution;Berganton Biogaz
2021;26743.24;Saint-Laurent-Médoc;200069995;Nouvelle-Aquitaine;Gironde;45.140433428, -0.862378225;;26.743240000000004;26.814;75;33424;Agricole autonome;33;2019-07-24;;CC Médoc Cœur de Presqu'île;Régaz;Distribution;MEDOC BIOGAZ 1
2020;9689.62;Hourtin;200070720;Nouvelle-Aquitaine;Gironde;45.180862572, -1.065066695;;9.68962;33.33874;75;33203;Agricole territorial;33;2020-02-25;;CC Médoc Atlantique;Régaz;Distribution;MEDOC ENERGIES 2
2021;17026.637;Strasbourg;246700488;Grand Est;Bas-Rhin;48.571265, 7.767760376;;17.026636999999994;16.624679999999998;44;67482;Station d'épuration;67;2015-09-01;;Eurométropole de Strasbourg;R-GDS;Distribution;Biovalsan
2019;5266.880999999999;Pleudihen-sur-Rance;200068989;Bretagne;Côtes-d'Armor;48.509515077, -1.94126291;;5.2668810000000015;5.3628;53;22197;Agricole autonome;22;2019-01-16;;CA Dinan Agglomération;Pleudihen Distribution gaz;Distribution;Gaec du Tertre Goutte
2018;17882.152;Willgottheim;200034635;Grand Est;Bas-Rhin;48.673674108, 7.515639704;;17.882151999999994;17.875999999999998;44;67532;Agricole territorial;67;2016-05-01;;CC du Kochersberg;R-GDS;Distribution;SAS Méthachrist
2020;8256.187;Marlenheim;200068864;Grand Est;Bas-Rhin;48.619066048, 7.505686274;;8.256186999999999;25.0264;44;67282;Agricole autonome;67;2020-07-25;;CC de la Mossig et du Vignoble;R-GDS;Distribution;METHA'CO
2018;15159.826000000001;Strasbourg;246700488;Grand Est;Bas-Rhin;48.571265, 7.767760376;;15.159826;16.624679999999998;44;67482;Station d'épuration;67;2015-09-01;;Eurométropole de Strasbourg;R-GDS;Distribution;Biovalsan
2019;2598.911;Wahlenheim;200067874;Grand Est;Bas-Rhin;48.765310444, 7.687221619;;2.598911;8.937999999999999;44;67510;Agricole autonome;67;2019-07-08;;CA de Haguenau;R-GDS;Distribution;METHA 3
2020;7005.75;Saint-Laurent-Médoc;200069995;Nouvelle-Aquitaine;Gironde;45.140433428, -0.862378225;;7.00575;26.814;75;33424;Agricole autonome;33;2019-07-24;;CC Médoc Cœur de Presqu'île;Régaz;Distribution;MEDOC BIOGAZ 1
2021;33358.64;Hourtin;200070720;Nouvelle-Aquitaine;Gironde;45.180862572, -1.065066695;;33.35864;33.33874;75;33203;Agricole territorial;33;2020-02-25;;CC Médoc Atlantique;Régaz;Distribution;MEDOC ENERGIES 2
2017;13188.816;Willgottheim;200034635;Grand Est;Bas-Rhin;48.673674108, 7.515639704;;13.188816;17.875999999999998;44;67532;Agricole territorial;67;2016-05-01;;CC du Kochersberg;R-GDS;Distribution;SAS Méthachrist
2021;19007.195;Willgottheim;200034635;Grand Est;Bas-Rhin;48.673674108, 7.515639704;;19.007195;17.875999999999998;44;67532;Agricole territorial;67;2016-05-01;;CC du Kochersberg;R-GDS;Distribution;SAS Méthachrist
2021;14003.001;Oberschaeffolsheim;246700488;Grand Est;Bas-Rhin;48.591660957, 7.646681513;;14.003001000000001;25.0264;44;67350;Agricole territorial;67;2020-05-04;;Eurométropole de Strasbourg;R-GDS;Distribution;Méthamusau
