Code_commune_INSEE,Code_postal,Coordonnees_gps
2668,2120,"49.827771342, 3.705370966"
2675,2820,"49.480032612, 3.7804123"
2677,2330,"49.015202481, 3.517143876"
2689,2250,"49.714510583, 3.87557835"
2697,2840,"49.587146838, 3.743494795"
2699,2130,"49.21442714, 3.4850284"
2703,2110,"49.962854219, 3.494426719"
2707,2410,"49.570032067, 3.387069592"
2708,2420,"49.931696208, 3.340597116"
2714,2220,"49.372485337, 3.446719738"
2719,2300,"49.591121145, 3.268134127"
2723,2340,"49.698054155, 4.085948902"
2728,2580,"49.913540259, 3.882648796"
2734,2600,"49.310206352, 3.050049317"
2738,2700,"49.656818136, 3.299606912"
2740,2140,"49.815403552, 3.952079017"
2743,2340,"49.641361034, 4.089478253"
2747,2490,"49.859989704, 3.088384828"
2757,2120,"49.922961175, 3.574497712"
2761,2190,"49.414922584, 3.980935502"
2772,2590,"49.82318443, 3.13627001"
2777,2540,"48.873310182, 3.442753662"
2779,2510,"49.990195929, 3.630844924"
2786,2380,"49.545409999, 3.319185087"
2788,2800,"49.657827829, 3.44286286"
2791,2840,"49.538681235, 3.730443735"
2794,2130,"49.186949109, 3.68297941"
2814,2120,"49.925063029, 3.681964652"
2820,2300,"49.63933095, 3.24798073"
2826,2140,"49.838727415, 3.832469429"
3002,3210,"46.618364598, 3.148778876"
3005,3380,"46.367116193, 2.409580218"
3013,3000,"46.598737396, 3.318798217"
3014,3130,"46.332375536, 3.966737993"
3019,3230,"46.587402632, 3.669109032"
3026,3210,"46.480747323, 3.25480062"
3031,3170,"46.401726014, 2.730349428"
3041,3350,"46.584211872, 2.715102742"
3046,3440,"46.47008478, 2.955107172"
3054,3340,"46.492309037, 3.515416106"
3061,3800,"46.082628309, 3.246438788"
3078,3450,"46.125939823, 3.004744399"
3079,3220,"46.322871786, 3.551382705"
3082,3600,"46.27902791, 2.749569571"
3084,3430,"46.483211151, 2.822882372"
3091,3150,"46.269421755, 3.423422807"
3097,3170,"46.378251002, 2.775269123"
3098,3630,"46.357051977, 2.627451501"
3112,3140,"46.220232812, 3.221244754"
3117,3160,"46.64346669, 3.03628672"
3119,3230,"46.718144903, 3.596525633"
3124,3340,"46.410852974, 3.438327977"
3128,3380,"46.377382962, 2.481901234"
3131,3120,"46.154072718, 3.618338058"
3133,3800,"46.159750955, 3.196822442"
3134,3500,"46.344463776, 3.175895452"
