adresse1,codePostal,codeInsee,commune,longitude,latitude,carriere,eolienne,industrie,prioriteNationale,statutSeveso,ied,etatActivite,regimeVigueur,siret,type,mise_en_demeure,name,codeNaf,adresse2,adresse3
LE CLEZIO,22460,22330,ST THELO,-2.848043,48.242253,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34973342800016,PORCS,False,SCEA DU GRAND CLOS ex SCEA LE MAUX,,,
L ABBAYE,22460,22330,ST THELO,-2.850239,48.250716,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,79772601500010,PORCS,False,SCEA DE L'ABBAYE,,,
L'ABBAYE,22460,22330,ST THELO,-2.846305,48.252995,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,51012600600012,PORCS,False,FLAGEUL CHRISTELLE,,,
LE CLEZIO,22460,22330,ST THELO,-2.848043,48.242253,False,False,False,True,Non Seveso,True,En exploitation avec titre,Autorisation,42363206600019,PORCS,False,EARL DU CLEZIO,,,
LE BOUFFO,22460,22330,ST THELO,-2.850578,48.261056,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,79103859900019,PORCS,False,EARL DU BOUFFO,01,,
LES FONTENELLES,22460,22330,ST THELO,-2.841001,48.245985,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,43070662200015,VOLAILLES,False,LE CANT MARCEL,,,
Maison boubien,64160,64239,GERDEREST,-0.151387,43.402058,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,37840757100017,PORCS,False,GLEMET Jean-Louis,01,Chemin Bastia,
HIALE Sébastien,64160,64470,ST ARMOU,-0.304084,43.393983,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39522627700014,VOLAILLES,False,EARL GUILHAMOU,,4 CHEMIN DE GUILHOMON,
GOUDOU,46240,46138,CŒUR DE CAUSSE,1.588705,44.660101,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,34766945900013,PORCS,False,CASSAN THIERRY,,,
M. LACOSTE Christophe,64160,64361,LUSSAGNET LUSSON,-0.203319,43.450775,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,43399100700017,VOLAILLES,False,EARL AVIPORC,01,Courtèze,
,71360,71140,COLLONGE LA MADELEINE,4.518218,46.936308,False,False,False,False,Non Seveso,False,En exploitation avec titre,Autorisation,43164346900015,PORCS,True,EARL DE COLLONGE,01,LE BOURG,
DOUMENJOU Claude,64160,64405,MORLAAS,-0.244155,43.334931,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,32577504700013,BOVINS,False,GAEC DU LUCET,,"45, rue Marcadet",
M. CASSOULONG Cédric,64160,64516,SEDZERE,-0.1914,43.332675,False,False,False,False,Non Seveso,False,En fin d'exploitation,Enregistrement,40958344000014,PORCS,False,EARL GIBASSET,01,"25, chemin Clouté",
POUYAU Béatrice,64160,64523,SEVIGNACQ,-0.252435,43.471102,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,38822731600014,BOVINS,False,EARL FIDJI,01,chemin Hourcade Quartier Loubée,
M. Philippe MARQUIS-LASMARIGUES,64160,64523,SEVIGNACQ,-0.256458,43.475979,False,False,False,False,Non Seveso,False,En exploitation avec titre,Enregistrement,39335825400018,PORCS,False,EARL MARQUIS,01,180 CHEMIN PEYROU,
