Numéro d'inspection,Nom établissement,Adresse 1,Adresse 2,Adresse 3,Code postal,Commune,Régime en vigueur,Statut SEVESO,Date de dernière inspection
52201786,SARL SAINTE BELIENNE,SAINTE BELIENNE - LA POTERIE,,,22400,LAMBALLE-ARMOR,Enregistrement,Non Seveso,
53900488,SARL SALINS BETAIL,,,,39140,VILLEVIEUX,Enregistrement,Non Seveso,
52200082,SARL SALIOU,QUINQUIS,,,22140,BEGARD,Enregistrement,Non Seveso,
52204050,SARL SALIOU,KERALAIN,,,22300,PLOUBEZRE,Enregistrement,Non Seveso,
53501782,SARL SANIPORC,,LES TONDELIERES,,35520,MELESSE,Autorisation,Non Seveso,
55302694,SARL SAVEUR D ANTAN,COURTEUVRE,,,53700,VILLAINES LA JUHEL,Enregistrement,Non Seveso,2015-09-24
55300544,SARL SAVEURS D ANTAN,LA VALLEE,,,53160,CHAMPGENETEUX,Autorisation,Non Seveso,
5107317,SARL SCOP ABATTOIR DE L'AISNE,ROUTE DU CATEAU,,,2170,LE NOUVION EN THIERACHE,Autorisation,Non Seveso,
56401230,SARL SELEC PORC,AGPM,"21, chemin de Pau",,64121,MONTARDON,Enregistrement,Non Seveso,
57400779,SARL SIMOND FRERES,"20, route d'AIX LES BAINS",,,74150,RUMILLY,Autorisation,Non Seveso,
52201742,SARL SOJULO ex SCEA RUELLAN,GAUTREL MAROUE,,,22400,LAMBALLE-ARMOR,Enregistrement,Non Seveso,
58501519,SARL SOMAVOL (site la Trounière),La Trounière,,,85600,MONTAIGU-VENDEE,Autorisation,Non Seveso,
51201467,SARL SSAM,LA GREZE,,,12800,TAURIAC DE NAUCELLE,Enregistrement,Non Seveso,
55900238,SARL STEVENOOT,2  CHE DE SPYCKER,,,59470,BOLLEZEELE,Autorisation,Non Seveso,
52200375,SARL SUTERRE,LA VILLE BOUGAULT,,,22250,BROONS,Autorisation,Non Seveso,
52203501,SARL TANGUY,KERROUAULT,,,22170,PLERNEUF,Autorisation,Non Seveso,
55500119,SARL TOJAPIGS,Le Haut de Serre,,,55700,BROUENNES,Autorisation,Non Seveso,2020-11-26
52200340,SARL TOQUET,"12, KERVISIO",,,22170,BRINGOLO,Autorisation,Non Seveso,2022-07-12
52204431,SARL TOUZE,KEREVEN,,,22170,PLOUVARA,Enregistrement,Non Seveso,
55700814,SARL TRAP,OEUTRANGE,54 rue du wampich,,57100,THIONVILLE,Enregistrement,Non Seveso,
5522062,SARL UNVOAS co-exploitation GAEC DE MEZOMEUR,MEZOMEUR,,,22140,COATASCORN,Autorisation,Non Seveso,2019-01-28
51000126,SARL VADEZ,5 rue de Romaincourt,,,10230,MAILLY LE CAMP,Autorisation,Non Seveso,
57201899,SARL VALENG,LA GARENNE,ST MARS SOUS BALLON,,72290,BALLON ST MARS,Enregistrement,Non Seveso,
57201185,SARL VALNAIS (EX SARL PORC 2000),LES GRANDES BOUERIES,,,72120,MAROLLES LES ST CALAIS,Enregistrement,Non Seveso,
56201758,SARL VITELERIE DU MOULIN ( ROGEZ) (VB),14 RUE DU RIETZ,,,62550,VALHUON,Enregistrement,Non Seveso,
52202360,SARL VOLAILLES de  KERVOASDOUE,KERIDRE,,,22540,LOUARGAT,Autorisation,Non Seveso,2022-08-01
51800442,SARL Yves DAVID,Les Miniers,,,18110,ST GEORGES SUR MOULON,Autorisation,Non Seveso,
56700538,SARL ZACHER,,13 rue Willenbach,,67250,PREUSCHDORF,Autorisation,Non Seveso,
51900557,SARRANT JOEL,LES BOULANGERIES,,,19310,YSSANDON,Autorisation,Non Seveso,
56300865,SARRON François,La Guillaumie,,,63580,LE VERNET-CHAMEANE,Enregistrement,Non Seveso,
56403500,SARTHOU Patrick,,,,64460,AAST,Enregistrement,Non Seveso,
50100575,SAS AIRPORC,854 Chemin des Simonettes,,,1310,POLLIAT,Autorisation,Non Seveso,2022-02-02
52205698,SAS AIRPORC,LA SIGONNNIERE,,,22630,ST JUVAT,Enregistrement,Non Seveso,
54200330,SAS AIRPORC (BEAL JEAN MARC),,LE BOURG - JEANSAGNIERE,,42920,CHALMAZEL JEANSAGNIERE,Autorisation,Non Seveso,
53800279,SAS AIR PORC - Jacques CLAVEL,ELEVAGE DES RIVOIRES,SA AIRPORC,,38260,MOTTIER,Autorisation,Non Seveso,
57300344,SAS AIRPORC (PORCHERIE ST OURS),,,,73410,ST OURS,Autorisation,Non Seveso,
40000278,SAS AVIMA,IRONI BE,,,97660,DEMBENI,Autorisation,Non Seveso,
55601825,SAS AXIOM,La Touche es Bouviers,,,56430,MAURON,Autorisation,Non Seveso,
55301377,SAS BAS CIVERNE (DU),LE BAS CIVERNE,,,53220,LARCHAMP,Enregistrement,Non Seveso,2022-11-03
55601914,SAS BREIZH PIG,Couesnehan,,,56490,MENEAC,Autorisation,Non Seveso,
53600388,SAS BV,ferme de St Cyran,ICB 1248,,36250,ST MAUR,Enregistrement,Non Seveso,
58501234,SAS CAILLES ROBIN,LA CANTRIE,,,85670,FALLERON,Enregistrement,Non Seveso,
55900028,SAS CAZEEL,103 RUE DE LA SEYNE,,,59285,ARNEKE,Autorisation,Non Seveso,
58502835,SAS COUVOIR DE LA SEIGNEURTIERE,BOISSE,,,85600,MONTAIGU-VENDEE,Enregistrement,Non Seveso,
52903634,SAS CPR PORCS,Keravel,,,29460,ST ELOY,Autorisation,Non Seveso,
5519755,SAS DE LA METAIRIE,st laurent,,,56190,MUZILLAC,Autorisation,Non Seveso,2022-02-03
52600044,SAS DEROUX FRERES,1330 C route de la Verne,Quartier Bonnet Bonnarde,,26260,ARTHEMONAY,Autorisation,Non Seveso,2022-08-03
55602148,SAS DES PINS,4 KERMARQUER LE BOURG,,,56500,MOUSTOIR-AC,Autorisation,Non Seveso,2020-07-24
55901875,SAS DESSERY VOLAILLES,22  ROUTE DE MARQUETTE,,,59252,WASNES AU BAC,Autorisation,Non Seveso,
55603323,SAS DE TALHEN RAUDE,TALHEN RAUDE,TALHEN RAUDE,,56150,ST BARTHELEMY,Autorisation,Non Seveso,2022-07-18
55901063,SAS DETOURBE ET CIE,67 RUE J.B LEBAS,FERME DU CHAT BLANC,,59164,MARPENT,Enregistrement,Non Seveso,
5208969,SAS DOMAINE DU TAUZIA,SAUPIQUET,,,47160,VILLEFRANCHE DU QUEYRAN,Autorisation,Non Seveso,
55614735,SAS DU LAMBOEUF,Rue du Chateau,,,56420,BULEON,Autorisation,Non Seveso,
3801778,SAS DU VIEUX COLOMBIER,5 rue Saint Laurent,,,60890,LA VILLENEUVE SOUS THURY,Enregistrement,Non Seveso,
50100724,SAS EGGTEAM - élevage du vier,Chemin du Vier,lieu dit vier,,1290,ST JEAN SUR VEYLE,Enregistrement,Non Seveso,
3201864,SAS ELEVAGE DE LA VARNA,950 RTE DE LA VARNA,,,1560,CURCIAT DONGALON,Enregistrement,Non Seveso,
52903874,SAS ELEVAGE JEAN CLAUDE FAVE,Veuleury,,,29800,ST THONAN,Autorisation,Non Seveso,
58502355,SAS FERME DE MOREILLES,La Grande Coulées,,,85450,PUYRAVAULT,Autorisation,Non Seveso,
58502002,SAS FERME DE MOREILLES,LE CHATEAU MUSSET,,,85450,MOREILLES,Autorisation,Non Seveso,
52202101,SAS GEFFROY ex GAEC GEFFROY,GUERLAGADEC,,,22480,LANRIVAIN,Autorisation,Non Seveso,
10012713,SAS GODAVIE,La Godetterie,,,37350,LA CELLE GUENAND,Enregistrement,Non Seveso,
58503339,SAS GOURMAUD SELECTION,LA BELLE ETOILE,,,85660,ST PHILBERT DE BOUAINE,Autorisation,Non Seveso,
6521121,SAS GRAINS D'ORGE,FERME DE LA MOTTE,,,77560,Courchamp,Autorisation,Non Seveso,2022-04-07
55602257,SAS IMEVIA,Kerlogot,,,56300,NEULLIAC,Autorisation,Non Seveso,
5521850,SAS KER ANGEL,BITERNE,,,22250,BROONS,Enregistrement,Non Seveso,
52903348,SAS KER AVICOLE,KERJEGU,,,29246,POULLAOUEN,Autorisation,Non Seveso,
55602564,SAS KERNOEL,Kervinigant d'en Haut,,,56160,PLOERDUT,Enregistrement,Non Seveso,
52902304,SAS KERPONT,PONT THOUAR,,,29530,PLONEVEZ-DU-FAOU,Enregistrement,Non Seveso,
5202337,SAS L'ABATTOIR 47,Z.I. La Barbière,Abattoir,,47300,VILLENEUVE SUR LOT,Autorisation,Non Seveso,
58503540,SAS LA COUVEE( Beau Rivage),SAINTE ANNE,CHEMIN BEAU RIVAGE,,85300,SOULLANS,Autorisation,Non Seveso,
52300997,SAS la Ferme de Saint Martial_M. LACROCQ,,PUY DES PRADES,,23100,ST MARTIAL LE VIEUX,Enregistrement,Non Seveso,
52205571,SAS LE HELLOCO,LE PONT DE LA SAUDE,ST GOUENO,,22330,LE MENE,Enregistrement,Non Seveso,
52204799,SAS LE HELLOCO,LAPIC,,,22450,LA ROCHE-JAUDY,Enregistrement,Non Seveso,
52202462,SAS LE HELLOCO,LA CROIX BUSSON,,,22600,LOUDEAC,Enregistrement,Non Seveso,
55603181,SAS LE HELLOCO,La Croix Neuve,,,56580,ROHAN,Autorisation,Non Seveso,
57201469,SAS LES COCHONS DE LA VALLEE DE LA BIENN,LA MARE,,,72170,PIACE,Enregistrement,Non Seveso,
54401637,SAS LES DEUX TILLEULS,Saint Jacques,,,44530,ST GILDAS DES BOIS,Autorisation,Non Seveso,
58502356,SAS LES FERMES DE VENDEE,Le Fondreau,,,85450,PUYRAVAULT,Autorisation,Non Seveso,
52600652,SAS LES FERMIERS DU SUD EST,L'Homme d'Armes,420 rue Barnier,,26740,SAVASSE,Autorisation,Non Seveso,
58503100,SAS LES PERCHOIRS,LA BRETONNIERE LE BLANC,,,85590,ST MALO DU BOIS,Autorisation,Non Seveso,
52205246,SAS LOTOUT AVI,KERLEAU,,,22600,ST CARADEC,Autorisation,Non Seveso,
50100518,SAS MASSARD - Panalard,,160 Route de la Corbine,,1310,MONTRACOL,Autorisation,Non Seveso,
52400923,SAS NURSIPORC,BOIS DE PALAN,,,24590,ST CREPIN ET CARLUCET,Autorisation,Non Seveso,
52901334,SAS OLLIVIER,DRENNEC,,,29400,LANDIVISIAU,Autorisation,Non Seveso,2022-05-25
50900189,SAS PAMIERS Elevage,,LES TROIS BORNES,,9100,PAMIERS,Autorisation,Non Seveso,
56400686,SAS PAUMAREL,ELODIE ESCOULA (chez PEHEAA HELENE),14 chemin de jammet,,64330,GARLIN,Enregistrement,Non Seveso,
53200215,SAS PEPIEUX ALLIANCE BOVINE,,PEPIEUX,,32450,CASTELNAU BARBARENS,Autorisation,Non Seveso,
58503559,SAS PIG-JARO,LA JARONNIERE,,,85390,TALLUD STE GEMME,Autorisation,Non Seveso,
57902431,SAS PORCEREALES,Le Champ de Fontaine,SAINT AUBIN DE BAUBIGNE,,79700,MAULEON,Enregistrement,Non Seveso,2022-02-17
54300455,SAS PORC VELAY AUVERGNE,Le Treuil,,,43300,MAZEYRAT D ALLIER,Enregistrement,Non Seveso,
53900349,S.A.S. PROVENT,,,,39270,ORGELET,Autorisation,Non Seveso,
53900084,SAS PROVENT,,,,39270,CHAMBERIA,Autorisation,Non Seveso,
55300157,SAS REAUTE (DE LA),LA REAUTE,,,53230,ASTILLE,Enregistrement,Non Seveso,2022-06-24
54901190,SAS ROSSIGNOL ENERGIES,Le Petit Rossignol,LOUVAINES,,49500,SEGRE-EN-ANJOU BLEU,Autorisation,Non Seveso,2022-11-30
57908887,SAS SELAC,L'Abbaye,,,79100,THOUARS,Autorisation,Non Seveso,
56800023,SAS SOCIETE D'EXPLOITATION DE L'ABATTOIR,ZONE INDUSTRIELLE LES PINS,RUE DU LAURIER,,68700,CERNAY,Autorisation,Non Seveso,2015-07-28
5704777,SAS TERRENERGY,Le Chemin de COUPETZ,D4,,51320,FAUX VESIGNEUL,Autorisation,Non Seveso,2021-04-06
52903541,SAS TREMOR,Tremor,,,29340,RIEC SUR BELON,Autorisation,Non Seveso,
55601336,SASU DE LOTHUEN,LOTHUEN,,,56700,KERVIGNAC,Autorisation,Non Seveso,
53500061,SASU GRIMAGRO- FADIER,LA GRIMAUDIERE,,,35370,ARGENTRE DU PLESSIS,Enregistrement,Non Seveso,
58503155,SASU LES CAPUCINES,LE CHENE ROND,,,85140,ST MARTIN DES NOYERS,Enregistrement,Non Seveso,
52203783,SAS VOLAILLES LAMBALLAISES ex ROUXEL JEAN LOUIS,LA CROIX BLANCHE,,,22130,PLEVEN,Autorisation,Non Seveso,2020-12-01
56900131,SAS WEBER,LA FERRIERE  BP 0017,,,69210,LENTILLY,Autorisation,Non Seveso,
52904317,SATURNIN (EARL),Logodec,,,29380,LE TREVOUX,Autorisation,Non Seveso,
50200011,SAUCOURT GUILLAUME,"13, Lieu-Dit Bellevue",,,2500,ANY MARTIN RIEUX,Autorisation,Non Seveso,
54901231,SAULAIE (EARL DE LA),La Benardière,,,49360,MAULEVRIER,Enregistrement,Non Seveso,
54901392,SAULAIE (EARL DE LA),La Saulaie,,,49220,MONTREUIL SUR MAINE,Enregistrement,Non Seveso,
54902468,SAULAINE (GAEC),La Petite Saulaie,,,49360,YZERNAY,Enregistrement,Non Seveso,
54902483,SAULAINE (GAEC),La Touche Béton,,,49360,YZERNAY,Enregistrement,Non Seveso,
51400801,SAUSSAYE (SCL LA),LA SAUSSAIE,Mrs LEMAITRE/PEPIN/POREE,,14400,MOSLES,Enregistrement,Non Seveso,
57200296,SAUSSEREAU MICKAEL (EX RAPICAULT GERARD),LE TERTRE,,,72370,LE BREIL SUR MERIZE,Enregistrement,Non Seveso,
52200480,SAUVAGE GERARD,PENHOUET,,,22210,LE CAMBOUT,Autorisation,Non Seveso,
55302111,SAUVAGE MICHEL,FAUCONNIERE,,,53150,EVRON,Autorisation,Non Seveso,
58900696,SAUVAGERE Nathalie,,Les Bergers,,89130,VILLIERS ST BENOIT,Enregistrement,Non Seveso,
52600388,SAUZET GILBERT,QUARTIER CHAMPEY,QUARTIER CHAMPEY,,26300,MARCHES,Enregistrement,Non Seveso,
54401297,SAVARY FREDERIC,Bas Calan,LE DRESNY,,44630,PLESSE,Enregistrement,Non Seveso,
52901751,SAVINA Didier,Kervitam,,,29790,MAHALON,Autorisation,Non Seveso,
57600167,SCA DE CARVILLE,,320 impasse du Manoir - BETTEVILLE,,76190,ST MARTIN DE L IF,Autorisation,Non Seveso,
52700155,SCA DU BESNAR,,vbc,,27350,ETREVILLE,Enregistrement,Non Seveso,
52204415,SCA DU MOULIN A VENT,LA VILLENEUVE D EN BAS,,,22410,PLOURHAN,Enregistrement,Non Seveso,
6114765,SCA ELEVAGE ST MARCELLIN (Chapiane),Quartier la Chapiane,,,26120,MONTMEYRAN,Enregistrement,Non Seveso,
52600291,SCA ELEVAGE ST MARCELLIN (ETOILE),Quartier Saint Marcellin,,,26800,ETOILE SUR RHONE,Enregistrement,Non Seveso,
52500466,SCAF,,,,25210,GRAND COMBE DES BOIS,Autorisation,Non Seveso,
52500442,SCAF DE GILLEY,les Rochettes,parcelle ZL 73,,25650,GILLEY,Autorisation,Non Seveso,
53900233,SCAF DE GRANDE RIVIERE,,,,39150,GRANDE-RIVIERE CHATEAU,Autorisation,Non Seveso,
53900467,SCAF FRUITIERE DU MONT RIVEL,,,,39300,VANNOZ,Autorisation,Non Seveso,
52500064,SCAF (porcherie de la SCAF),,,,25690,AVOUDREY,Autorisation,Non Seveso,
52500807,SCAF (porcherie de la SCAF),Les Marchands,,,25210,LE RUSSEY,Autorisation,Non Seveso,
52500894,SCAF VALOREILLE / PORCHERIE,,,,25190,VALOREILLE,Autorisation,Non Seveso,
56400192,SCA LA BERNEDE,6 chemin des Grives,,,64450,ASTIS,Enregistrement,Non Seveso,
57200802,SCA LE CORMIER,BOIS GAUDIN,,,72120,ECORPAIN,Enregistrement,Non Seveso,
59700599,SCA LEGROS,24 CH. JAMEROSAS,BRAS DE  PONTHO,,97430,TAMPON 14EME KM,Autorisation,Non Seveso,
5101364,SCAME ELEVAGE,,,,60790,MONTHERLANT,Autorisation,Non Seveso,
59700445,SCA MON CAPRICE,DOMAINE MON CAPRICE,,,97430,TAMPON 14EME KM,Autorisation,Non Seveso,
7209984,SCA PLAINE DES BOUILLEES,Vallée Barbier,,,79800,PAMPROUX,Autorisation,Non Seveso,
57902841,SCA PLAINE DES BOUILLEES,Les Bouriboux,,,79800,PAMPROUX,Autorisation,Non Seveso,
58100348,SCA PORCINET,La Rizière,,,81120,TERRE-DE-BANCALIE,Autorisation,Non Seveso,
52200984,SCAPP,Crénan,,,22800,LE FOEIL,Autorisation,Non Seveso,
52205974,SCAPRESI,BON ABRI,,,22510,ST TRIMOEL,Enregistrement,Non Seveso,
52203639,SCA QUEHONAN,QUEHONAN,,,22640,PLESTAN,Enregistrement,Non Seveso,2022-08-02
57900041,SCEA 3D,3 Rue de l'Abbé Coudrain,Les Jumeaux,,79600,ASSAIS LES JUMEAUX,Autorisation,Non Seveso,
58600292,SCEA ABONNEAU,LA BARRERIE,,,86160,MAGNE,Enregistrement,Non Seveso,
52205092,SCEA ADAM,LA VILLE BERCELET,,,22550,RUCA,Enregistrement,Non Seveso,
52901961,SCEA ADAM,KERBRAT LOCMARIA site 1,,,29860,PLABENNEC,Enregistrement,Non Seveso,
58500464,SCEA AGRI,LA VENASSIERE,,,85510,LE BOUPERE,Autorisation,Non Seveso,
58500423,SCEA AGRI Site La Rousselière en Bois,LA ROUSSELIERE EN BOIS,,,85510,LE BOUPERE,Autorisation,Non Seveso,
57902446,SCEA ALFOPORC,36 La Braudière,MOULINS,,79700,MAULEON,Enregistrement,Non Seveso,
7211158,SCEA ALFOPORC,Essenjus,,,79700,ST PIERRE DES ECHAUBROGNES,Enregistrement,Non Seveso,2022-09-08
59700370,SCEA AMELIA (EX LAFOSSE JEAN ERIC),,95 CHEMIN PIECE ERNEST,,97421,ST LOUIS,Enregistrement,Non Seveso,
